"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 30 06:59:52 GMT 2021","Fri Jul 30 06:59:52 GMT 2021","34","","keys.KeysTests","","keys.KeysTests","testBackspace","testBackspace()",""
"passed","Fri Jul 30 06:59:53 GMT 2021","Fri Jul 30 06:59:53 GMT 2021","460","","hover.HoverTest","","hover.HoverTest","testHoverUser1","testHoverUser1()",""
"passed","Fri Jul 30 06:59:54 GMT 2021","Fri Jul 30 06:59:54 GMT 2021","411","","forgotpassword.ForgotPasswordTest","","forgotpassword.ForgotPasswordTest","testPasswordRecovering","testPasswordRecovering()",""
"passed","Fri Jul 30 06:59:55 GMT 2021","Fri Jul 30 06:59:55 GMT 2021","568","","login.LoginTests","","login.LoginTests","testSuccesfullLogin","testSuccesfullLogin()",""
"passed","Fri Jul 30 06:59:51 GMT 2021","Fri Jul 30 06:59:52 GMT 2021","424","","keys.KeysTests","","keys.KeysTests","testAtSign","testAtSign()",""
"passed","Fri Jul 30 06:59:52 GMT 2021","Fri Jul 30 06:59:53 GMT 2021","271","","dropdown.DropdownTests","","dropdown.DropdownTests","testSelectOption","testSelectOption()",""
