"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 29 18:54:01 GMT 2021","Thu Jul 29 18:54:01 GMT 2021","0","","hover.HoverTest","","hover.HoverTest","","HoverTest",""
"passed","Thu Jul 29 18:55:31 GMT 2021","Thu Jul 29 18:55:31 GMT 2021","483","","dropdown.DropdownTests","","dropdown.DropdownTests","testSelectOption","testSelectOption()",""
