"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 06:56:13 GMT 2021","Fri Jul 30 06:56:13 GMT 2021","348","","dropdown.DropdownTests","","dropdown.DropdownTests","testSelectOption","testSelectOption()",""
"passed","Fri Jul 30 06:56:18 GMT 2021","Fri Jul 30 06:56:18 GMT 2021","729","","login.LoginTests","","login.LoginTests","testSuccesfullLogin","testSuccesfullLogin()",""
"passed","Fri Jul 30 06:56:14 GMT 2021","Fri Jul 30 06:56:15 GMT 2021","538","","hover.HoverTest","","hover.HoverTest","testHoverUser1","testHoverUser1()",""
"passed","Fri Jul 30 06:56:16 GMT 2021","Fri Jul 30 06:56:16 GMT 2021","566","","forgotpassword.ForgotPasswordTest","","forgotpassword.ForgotPasswordTest","testPasswordRecovering","testPasswordRecovering()",""
"broken","Fri Jul 30 06:56:11 GMT 2021","Fri Jul 30 06:56:11 GMT 2021","38","","keys.KeysTests","","keys.KeysTests","testBackspace","testBackspace()",""
"passed","Fri Jul 30 06:56:11 GMT 2021","Fri Jul 30 06:56:11 GMT 2021","286","","keys.KeysTests","","keys.KeysTests","testAtSign","testAtSign()",""
